n,bt_solver,solution_found,nodes_explored,time_seconds
8,mcv_hybrid,True,27,0.00017619998834561557
8,mcv,True,83,0.00010960000508930534
8,lcv,True,55,0.0001581999968038872
8,first,True,876,6.44000101601705e-05
16,mcv_hybrid,True,307,0.0022298999974736944
16,mcv,True,48,0.00015529998927377164
16,lcv,True,2724,0.008446199994068593
16,first,True,160712,0.008677300007548183
