N,BT_solution_found,BT_nodes,BT_time,SA_success_rate,SA_avg_steps_success,SA_avg_time_success,GA_success_rate,GA_avg_gen_success,GA_avg_time_success,GA_pop_size,GA_max_gen,GA_pm,GA_pc,GA_tournament_size
8,1,876,7.319450378417969e-05,1.0,703.65,0.004745376110076904,0.45,43.22222222222222,0.049570163091023765,50,400,0.15,0.8,3
16,1,160712,0.012449979782104492,0.95,1756.421052631579,0.024889958532232987,0.05,40,0.4844989776611328,256,480,0.05,0.8,3
24,1,9878316,0.5630478858947754,0.55,4092.5454545454545,0.06638110767711293,0.05,80,3.1396420001983643,384,1200,0.05,0.8,3
