N,pop_size,max_gen,pm,pc,tournament_size,success_rate_tuning,avg_gen_success_tuning
8,50,80,0.1,0.8,3,0.5,15.4
16,64,240,0.1,0.8,3,0.2,103.5
24,72,480,0.1,0.8,3,0.2,343
