N,pop_size,max_gen,pm,pc,tournament_size,success_rate_tuning,avg_gen_success_tuning
8,128,400,0.15,0.8,3,1.0,50.2
16,256,800,0.15,0.8,3,0.8,217.75
24,192,1920,0.15,0.8,3,0.6,555
