N,BT_solution_found,BT_nodes,BT_time,SA_success_rate,SA_avg_steps_success,SA_avg_time_success,GA_success_rate,GA_avg_gen_success,GA_avg_time_success,GA_pop_size,GA_max_gen,GA_pm,GA_pc,GA_tournament_size
8,1,876,7.724761962890625e-05,1.0,732.9,0.005605316162109375,0.45,194.11111111111111,0.15024500423007542,64,640,0.1,0.8,3
16,1,160712,0.011135101318359375,0.8,2110.9375,0.03022460639476776,0.0,,,64,480,0.1,0.8,3
24,1,9878316,0.5894918441772461,0.65,3773.5384615384614,0.059959668379563555,0.1,1051,6.884865045547485,192,1920,0.1,0.8,3
