N,BT_solution_found,BT_nodes,BT_time,SA_success_rate,SA_avg_steps_success,SA_avg_time_success,GA_success_rate,GA_avg_gen_success,GA_avg_time_success,GA_pop_size,GA_max_gen,GA_pm,GA_pc,GA_tournament_size
8,1,876,7.891654968261719e-05,1.0,654.5,0.0015444397926330567,0.3,19.666666666666668,0.004413445790608724,50,80,0.1,0.8,3
16,1,160712,0.010119915008544922,0.6,2130.5,0.016442139943440754,0.0,,,64,240,0.1,0.8,3
24,1,9878316,0.5608508586883545,0.7,3426.714285714286,0.05682214668818882,0.0,,,72,480,0.1,0.8,3
