N,BT_solution_found,BT_nodes,BT_time,SA_success_rate,SA_avg_steps_success,SA_avg_time_success,GA_success_rate,GA_avg_gen_success,GA_avg_time_success,GA_pop_size,GA_max_gen,GA_pm,GA_pc,GA_tournament_size
8,1,876,8.082389831542969e-05,1.0,643.35,0.004633283615112305,0.6,43.833333333333336,0.08624613285064697,128,400,0.15,0.8,3
16,1,160712,0.010118246078491211,0.95,2383.315789473684,0.029275793778268916,0.55,188,1.2405677275224165,256,800,0.15,0.8,3
24,1,9878316,0.5840969085693359,0.65,3233,0.06018299322861891,0.3,565.6666666666666,4.497373938560486,192,1920,0.15,0.8,3
