n,bt_solution_found,bt_nodes_explored,bt_time_seconds,bt_first_solution_found,bt_first_nodes_explored,bt_first_time_seconds,bt_mcv_solution_found,bt_mcv_nodes_explored,bt_mcv_time_seconds,bt_lcv_solution_found,bt_lcv_nodes_explored,bt_lcv_time_seconds,bt_mcv_hybrid_solution_found,bt_mcv_hybrid_nodes_explored,bt_mcv_hybrid_time_seconds,sa_success_rate,sa_timeout_rate,sa_failure_rate,sa_total_runs,sa_successes,sa_failures,sa_timeouts,sa_success_steps_mean,sa_success_steps_median,sa_success_evals_mean,sa_success_evals_median,sa_timeout_steps_mean,sa_timeout_steps_median,sa_timeout_evals_mean,sa_timeout_evals_median,sa_success_time_mean,sa_success_time_median,ga_success_rate,ga_timeout_rate,ga_failure_rate,ga_total_runs,ga_successes,ga_failures,ga_timeouts,ga_success_gen_mean,ga_success_gen_median,ga_success_evals_mean,ga_success_evals_median,ga_timeout_gen_mean,ga_timeout_gen_median,ga_timeout_evals_mean,ga_timeout_evals_median,ga_success_time_mean,ga_success_time_median,ga_pop_size,ga_max_gen,ga_pm,ga_pc,ga_tournament_size
8,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1.0,0.0,0.0,20,20,0,0,729.75,524.5,730.75,525.5,,,,,0.004884679248789325,0.002629978996992577,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,0,0,0.0,0.0,0
16,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.7,0.0,0.3,20,14,6,0,2456.1428571428573,2070.5,2457.1428571428573,2071.5,,,,,0.02547806850218746,0.0203612084951601,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,0,0,0.0,0.0,0
24,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.75,0.0,0.25,20,15,5,0,3568.5333333333333,3525,3569.5333333333333,3526,,,,,0.054261824933928435,0.05748412500543054,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,0,0,0.0,0.0,0
40,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.25,0.0,0.75,20,5,15,0,8247.2,8844,8248.2,8845,,,,,0.20149662500189153,0.21194129200011957,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,0,0,0.0,0.0,0
60,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.1,0.0,0.9,20,2,18,0,10592,10592.0,10593,10593.0,,,,,0.3983133750007255,0.3983133750007255,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,0,0,0.0,0.0,0
80,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,1.0,20,0,20,0,,,,,,,,,,,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,0,0,0.0,0.0,0
