n,bt_solution_found,bt_nodes_explored,sa_success_rate,sa_steps_mean_all,sa_steps_median_all,sa_evals_mean_all,sa_evals_median_all,sa_steps_mean_success,sa_evals_mean_success,ga_success_rate,ga_gen_mean_all,ga_gen_median_all,ga_evals_mean_all,ga_evals_median_all,ga_gen_mean_success,ga_evals_mean_success,bt_time_seconds,sa_time_mean_success,ga_time_mean_success
8,1,27,0.0,,,,,,,0.0,,,,,,,0.00015612499555572867,,
16,1,307,0.0,,,,,,,0.0,,,,,,,0.0016118750063469633,,
24,1,55,0.0,,,,,,,0.0,,,,,,,0.0015151250117924064,,
40,1,40,0.0,,,,,,,0.0,,,,,,,0.005713374994229525,,
80,1,80,0.0,,,,,,,0.0,,,,,,,0.042660333012463525,,
120,1,120,0.0,,,,,,,0.0,,,,,,,0.14279283299401868,,
