n,bt_solver,solution_found,nodes_explored,time_seconds
8,mcv_hybrid,True,27,0.00016679200052749366
16,mcv_hybrid,True,307,0.001600750008947216
24,mcv_hybrid,True,55,0.0014887500001350418
40,mcv_hybrid,True,40,0.00550216699775774
80,mcv_hybrid,True,80,0.04272595800284762
120,mcv_hybrid,True,120,0.14223562501138076
