N,pop_size,max_gen,pm,pc,tournament_size,success_rate_tuning,avg_gen_success_tuning
8,64,640,0.1,0.8,3,0.8,293
16,64,480,0.1,0.8,3,0.4,252.5
24,192,1920,0.1,0.8,3,0.2,602
