N,BT_solution_found,BT_nodes,BT_time,SA_success_rate,SA_avg_steps_success,SA_avg_time_success,GA_success_rate,GA_avg_gen_success,GA_avg_time_success,GA_pop_size,GA_max_gen,GA_pm,GA_pc,GA_tournament_size
8,1,876,7.605552673339844e-05,0.85,939.9411764705883,0.006224576164694393,0.35,124.42857142857143,0.09374632154192243,50,240,0.15,0.8,3
16,1,160712,0.014770984649658203,0.75,2308.5333333333333,0.03654076258341472,0.0,,,256,800,0.1,0.8,3
24,1,9878316,0.577747106552124,0.55,3361.3636363636365,0.05741763114929199,0.05,1285,9.340012073516846,192,1920,0.15,0.8,3
